Muestra,Descripcion Muestra,Año,Atropello,Caída,Colisión,Choque,Volcadura,Otros ,Muertos,Lesionados Graves,Lesionados Menos Graves,Lesionados Leves,(Incorporar Otra Columna Si es Necesario)
Nacional,Nacional,2010,8.247,1.478,29.127,14.558,3.629,707,1.595,6.899,4.321,41.744,
Nacional,Nacional,2011,8.339,1.488,31.487,16.312,3.985,1.223,1.573,6.724,4.454,43.034,
Regional,XV Región Arica y Parinacota,2010,115,6,265,151,55,6,28,87,70,444,
Regional,XV Región Arica y Parinacota,2011,159,13,426,342,68,10,33,99,80,679,
Comunal,ARICA,2010,115,6,259,142,24,4,24,75,64,407,
Comunal,ARICA,2011,158,13,414,329,38,10,29,89,74,654,
Comunal,CAMARONES,2010,0,0,2,4,5,0,2,4,3,5,
Comunal,CAMARONES,2011,0,0,6,8,9,0,2,5,2,10,
Comunal,PUTRE,2010,0,0,4,5,26,2,2,8,3,32,
Comunal,PUTRE,2011,1,0,6,5,19,0,2,5,4,12,
Comunal,GENERAL LAGOS,2010,0,0,0,0,0,0,0,0,0,0,
Comunal,GENERAL LAGOS,2011,0,0,0,0,2,0,0,0,0,3,
Regional,I Región de Tarapacá,2010,168,6,397,134,158,7,32,142,110,957,
Regional,I Región de Tarapacá,2011,202,13,416,231,134,4,56,153,119,869,
Comunal,IQUIQUE,2010,108,5,247,71,22,1,7,70,37,488,
Comunal,IQUIQUE,2011,133,8,226,69,21,1,10,63,32,426,
Comunal,CAMINA,2010,0,0,0,2,0,0,0,0,0,6,
Comunal,CAMINA,2011,1,0,1,1,3,0,1,2,3,11,
Comunal,COLCHANE,2010,0,0,0,1,7,1,1,2,3,15,
Comunal,COLCHANE,2011,0,0,0,1,4,0,0,1,0,4,
Comunal,HUARA,2010,1,0,4,8,25,0,12,10,14,71,
Comunal,HUARA,2011,0,0,10,14,30,2,16,27,13,72,
Comunal,PICA,2010,0,0,4,2,25,1,0,8,4,39,
Comunal,PICA,2011,0,0,2,1,11,0,1,3,4,20,
Comunal,POZO ALMONTE,2010,8,0,23,4,57,2,10,25,20,99,
Comunal,POZO ALMONTE,2011,4,0,28,18,37,0,17,27,36,120,
Comunal,ALTO HOSPICIO,2010,51,1,119,46,22,2,2,27,32,239,
Comunal,ALTO HOSPICIO,2011,64,5,149,127,28,1,11,30,31,216,
Regional,II Región de Antofagasta,2010,290,32,949,454,199,14,67,250,154,1.883,
Regional,II Región de Antofagasta,2011,280,57,1.118,506,206,19,87,260,146,1.851,
Comunal,ANTOFAGASTA,2010,204,25,684,324,54,5,29,105,61,1.056,
Comunal,ANTOFAGASTA,2011,177,36,816,399,80,7,48,138,53,1.049,
Comunal,MEJILLONES,2010,3,0,13,13,13,1,4,30,6,25,
Comunal,MEJILLONES,2011,8,1,8,16,16,2,3,17,8,36,
Comunal,SIERRA GORDA,2010,0,0,4,6,23,0,0,5,4,39,
Comunal,SIERRA GORDA,2011,1,0,8,5,15,1,7,7,2,25,
Comunal,TALTAL,2010,4,2,14,8,41,2,6,15,13,94,
Comunal,TALTAL,2011,10,15,6,11,27,2,7,21,15,124,
Comunal,CALAMA,2010,73,2,226,90,32,2,9,71,58,596,
Comunal,CALAMA,2011,72,2,263,59,16,1,7,59,46,505,
Comunal,OLLAGUE,2010,0,0,0,0,0,0,0,0,0,0,
Comunal,OLLAGUE,2011,0,0,0,0,3,0,0,2,4,3,
Comunal,SAN PEDRO ATACAMA,2010,0,0,1,0,5,0,10,8,0,10,
Comunal,SAN PEDRO ATACAMA,2011,0,0,1,0,6,0,6,1,0,9,
Comunal,TOCOPILLA,2010,5,1,6,10,20,0,6,8,6,43,
